source,target,weight
Frodo,Sam,5
Frodo,Gandalf,5
Frodo,Merry,5
Frodo,Bilbo,5
Frodo,Pippin,5
Frodo,Aragorn,5
Frodo,Boromir,5
Frodo,Galadriel,5

Sam,Frodo,5
Sam,Merry,5
Sam,Pippin,5
Sam,Gandalf,5
Sam,Aragorn,5
Sam,Gimli,5
Sam,Elrond,5
Sam,Galadriel,5

Merry,Pippin,5
Merry,Sam,5
Merry,Frodo,5
Merry,Legolas,5

Pippin,Merry,5
Pippin,Gandalf,5
Pippin,Aragorn,5
Pippin,Elrond,5
Pippin,Frodo,5
Pippin,Sam,5

Bilbo,Gandalf,5
Bilbo,Frodo,5

Gandalf,Aragorn,5
Gandalf,Gimli,5
Gandalf,Elrond,5
Gandalf,Saruman,5
Gandalf,Frodo,5
Gandalf,Sam,5
Gandalf,Pippin,5
Gandalf,Bilbo,5

Aragorn,Frodo,5
Aragorn,Sam,5
Aragorn,Pippin,5
Aragorn,Gandalf,5
Aragorn,Legolas,5
Aragorn,Gimli,5
Aragorn,Boromir,5
Aragorn,Galadriel,5
Aragorn,Arwen,5
Aragorn,Haldir,5

Legolas,Merry,5
Legolas,Aragorn,5
Legolas,Gimli,5
Legolas,Boromir,5
Legolas,Haldir,5

Gimli,Sam,5
Gimli,Gandalf,5
Gimli,Aragorn,5
Gimli,Legolas,5
Gimli,Galadriel,5
Gimli,Haldir,5

Elrond,Sam,5
Elrond,Pippin,5
Elrond,Gandalf,5
Elrond,Isildur,5

Isildur,Elrond,5

Saruman,Gandalf,5
Saruman,Lurtz,5

Boromir,Frodo,5
Boromir,Aragorn,5
Boromir,Legolas,5

Lurtz,Saruman,5

Galadriel,Frodo,5
Galadriel,Sam,5
Galadriel,Aragorn,5
Galadriel,Gimli,5

Arwen,Aragorn,5

Haldir,Aragorn,5
Haldir,Gimli,5
Haldir,Legolas,5





